src,dst,relationship
19798,18998,1028193
19798,20616,1028193
19798,21364,1028193
19798,22258,1028193
19798,22554,1028193
19798,22648,1028193
19798,24039,1028193
19798,24063,1028193
19798,25230,1028193
19798,27668,1028193
19798,28178,1028193
19798,28384,1028193
19798,29252,1028193
19798,31536,1028193
19798,32014,1028193
19798,32042,1028193
19798,32072,1028193
19798,32111,1028193
19798,32356,1028193
19798,32390,1028193
20616,560,1028193
20616,1739,1028193
20616,2201,1028193
20616,2356,1028193
20616,2375,1028193
20616,3526,1028193
20616,4226,1028193
20616,4254,1028193
20616,4565,1028193
20616,6131,1028193
20616,6704,1028193
20616,6852,1028193
20616,7032,1028193
20616,8220,1028193
20616,9648,1028193
20616,10905,1028193
20616,12947,1028193
20616,13093,1028193
20616,13272,1028193
20616,14007,1028193
20616,15836,1028193
20616,18998,1028193
20616,19798,1028193
20616,21364,1028193
20616,22258,1028193
20616,22554,1028193
20616,22648,1028193
20616,24039,1028193
20616,24063,1028193
20616,25230,1028193
20616,27668,1028193
20616,28178,1028193
20616,28384,1028193
20616,29252,1028193
20616,31536,1028193
20616,32014,1028193
20616,32042,1028193
20616,32072,1028193
20616,32111,1028193
20616,32356,1028193
20616,32390,1028193
21364,560,1028193
21364,1739,1028193
21364,2201,1028193
21364,2356,1028193
21364,2375,1028193
21364,3526,1028193
21364,4226,1028193
21364,4254,1028193
21364,4565,1028193
21364,6131,1028193
21364,6704,1028193
21364,6852,1028193
21364,7032,1028193
